1,1309
2,953
3,959
4,929
5,1065
6,1006
7,1301
8,1448
9,1363
10,1137
11,1240
12,1338
13,959
14,1169
15,981
16,1370
17,1238
18,1454
19,1177
20,786
21,1466
22,975
23,848
24,1310
25,752
26,881
27,1182
28,898
29,782
30,1103
31,1387
32,1432
33,1285
34,1268
35,952
36,1010
37,922
38,907
39,984
40,1439
41,1411
42,1320
43,1013
44,1217
45,767
46,1285
47,911
48,1143
49,1449
50,896
51,777
52,1441
53,1266
54,1407
55,1335
56,915
57,1064
58,1034
59,824
60,1476
61,1196
62,1272
63,1263
64,1228
65,854
66,998
67,1101
68,768
69,915
70,1273
71,956
72,1112
73,1149
74,825
75,1252
76,1406
77,1410
78,1482
79,1185
80,1097
81,1092
82,1129
83,912
84,1257
85,1172
86,1328
87,1163
88,809
89,1418
90,1044
91,1224
92,1402
93,1076
94,1305
95,1375
96,1357
97,936
98,1399
99,1385
100,912
